id,name,screen_name,followers_count,friends_count
1546977270,Dirk Brockmann,DirkBrockmann,1095,528
15492359,TED Talks,TEDTalks,10736829,541
15496407,Jason H. Moore, PhD,moorejh,17973,13690
155636227,James Gleeson,gleesonj,873,533
15571577,Jacob Ward,_jacobward_,9255,1093
15626406,michael_nielsen,michael_nielsen,19922,2475
15649207,jimiadams,jimiadams,827,584
15659409,Ines Mergel,InesMergel,3254,388
157466475,Molly Roberts,mollyeroberts,2412,1733
15808647,MIT Tech Review,techreview,785877,3369
15810838,Dave Richeson,divbyzero,10460,851
1585948734,Jesse C. Shore,jessecshore,345,414
15862891,Nature News&Comment,NatureNews,1873472,3682
15865878,Nieman Lab,NiemanLab,277405,831
15905103,NPR's Planet Money,planetmoney,349258,407
16017475,Nate Silver,NateSilver538,2792977,1044
16047639,Thomas Leeper,thosjleeper,4156,842
16061930,Jeff Hammerbacher,hackingdata,31414,10150
160651698,David DeSteno,daviddesteno,1957,104
16076032,Glenn Greenwald,ggreenwald,922070,976
1611332490,Network Fact,NetworkFact,26588,18
16129526,Lee Rainie,lrainie,16034,1344
16147557,Keith N Hampton,mysocnet,3090,408
1615252842,Kim Weeden,WeedenKim,2540,411
16174144,Peter Sheridan Dodds,peterdodds,2093,1444
16174436,Sune Lehmann,suneman,7103,319
1617603914,Big Data & Society,BigDataSoc,11825,1525
16184875,loi sessions goulet,lsgoulet,582,233
16191522,Dashun Wang,dashunwang,627,480
16245822,National Science Fdn,NSF,1083014,102
162686169,Daniel Simons,profsimons,7575,612
16303106,Stephen Colbert,StephenAtHome,16514815,33
16330659,SandraGonzálezBailón,sgonzalezbailon,800,240
165270515,Teppo Felin,teppofelin,7437,6116
166008261,Jukka-Pekka Onnela,jponnela,1163,329
16614440,Jeremy Foote,jdfoote,487,754
16629994,Brian⛄️🎄Keegan,bkeegan,5695,1392
166304741,WIN Workshop,WINWorkshop,413,364
16644070,Karrie Karahalios,kkarahal,966,406
16674284,Mirco Musolesi,mircomusolesi,1310,338
1676175931,Richard E. Lenski,RELenski,8448,1922
1676433602,Benjamin Kerr,evokerr,1071,509
16807355,Joan Morris DiMicco,joandimicco,1608,314
168286576,Nicola Clayton,nickyclayton22,1875,603
16892481,Nicholas Thompson,nxthompson,84676,1496
1689492204,The Vox of PoCS,pocsvox,371,57
16895951,Patrick Meier,PatrickMeier,21646,1293
16910050,Kate Ehrlich,KateEhrlich,292,196
16977293,Alexander Semenov,semenoffalex,366,150
17006157,Paul Krugman,paulkrugman,3900284,28
1704085728,yrCSS,YR_CSS,2500,150
17042078,Virginia Hughes,virginiahughes,30641,2339
17131720,Siddharth (Sid) Suri,ssuri,1938,239
17142046,Ryan Avent,ryanavent,34530,617
171534539,FuturICT,FuturICT,3531,2237
17163609,Monica Rogati,mrogati,36654,491
17179368,Richard Florida,Richard_Florida,198039,1756
17248121,Phys.org,physorg_com,662891,157
17268874,Ben Shneiderman,benbendc,7351,647
17354555,Emilio Ferrara,jabawack,29008,975
17427564,Moira Burke,grammarnerd,2507,256
17471979,National Geographic,NatGeo,20965259,23
174740894,Mariette DiChristina,mdichristina,20425,1673
175624200,John Carmack,ID_AA_Carmack,838538,163
17595439,Chris Anderson,chr1sa,189306,1123
17747818,Dr. Sheen S. Levine,sslevine,46159,6
17751344,stefano bertolo,sclopit,3662,432
17797390,Sharad Goel,5harad,1230,72
178649929,Suzy Moat,suzymoat,3407,3378
17868090,timohannay,timohannay,2746,302
17997789,Dan Ariely,danariely,145930,11
18028509,Tom Peters,tom_peters,150435,8546
18089292,Brendan Maher,bmaher,12446,1269
18247347,Tiago Peixoto,tiagopeixoto,1321,2834
182839127,Laura Helmuth,laurahelmuth,22609,4706
1833561,Samuel Arbesman,arbesman,6457,567
18341734,presnick,presnick,692,63
183575679,Dario Taraborelli,ReaderMeter,3664,2256
184543773,Joe Blitzstein,stat110,9483,3191
18463930,Drew Conway,drewconway,21557,284
18622869,Ezra Klein,ezraklein,2176486,1110
